task,arm,run,loss_source,rate_source,frac,train_loss,test_loss,on_target
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.0,1.658031219302554,1.6678026421448775,0.0
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.001,0.9055080811026522,0.938483538280838,0.875
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.002,0.8886160440201375,0.9208909935459514,0.9375
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.005,0.8727234006630649,0.9058654425248094,0.921875
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.01,0.8611568908091847,0.8989901316577976,0.9375
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.02,0.847470914169941,0.8935443408720456,0.96875
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.05,0.8243499815815324,0.8871293379057001,0.984375
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.1,0.8009606381999018,0.8836764668428496,0.96875
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.2,0.7729670136757122,0.8825495739249245,0.96875
caps,adam,caps_qwen25_14b_lora32_lr1e-4_posthoc_best,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/sft_loss_eval/evals.json,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_best/evals.json,0.5,0.7291359052676817,0.8815037686070761,0.953125
